Name,Resource type,Project Id,Display name,Status,Folders,Organization,Parent asset type,Parent full resource name,KMS keys,Direct tags,Description,Location,Labels,Network tags,Additional attributes
"//storage.googleapis.com/artifacts.statsig-services.appspot.com","storage.Bucket","statsig-services","artifacts.statsig-services.appspot.com","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us","{}","[]","null"
"//storage.googleapis.com/statshot","storage.Bucket","statsig-services","statshot","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/processed-events-prod-us-west1-backup-4","storage.Bucket","statsig-services","processed-events-prod-us-west1-backup-4","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/processed-events-prod-us-west1-backup-3","storage.Bucket","statsig-services","processed-events-prod-us-west1-backup-3","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/processed-events-prod-us-west1-backup-2","storage.Bucket","statsig-services","processed-events-prod-us-west1-backup-2","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/processed-events-prod-us-west1-backup-1","storage.Bucket","statsig-services","processed-events-prod-us-west1-backup-1","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/processed-events-prod-us-west2","storage.Bucket","statsig-services","processed-events-prod-us-west2","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west2","{}","[]","null"
"//storage.googleapis.com/log-event-prod-asia-souteast1","storage.Bucket","statsig-services","log-event-prod-asia-souteast1","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","asia-southeast1","{}","[]","null"
"//storage.googleapis.com/log-event-prod-us-west1","storage.Bucket","statsig-services","log-event-prod-us-west1","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/log-event-prod-us-east1","storage.Bucket","statsig-services","log-event-prod-us-east1","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-east1","{}","[]","null"
"//storage.googleapis.com/log-event-prod-europe-west1","storage.Bucket","statsig-services","log-event-prod-europe-west1","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","europe-west1","{}","[]","null"
"//storage.googleapis.com/processed-events-prod","storage.Bucket","statsig-services","processed-events-prod","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/processed-events-staging","storage.Bucket","statsig-services","processed-events-staging","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/processed-events-latest","storage.Bucket","statsig-services","processed-events-latest","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/log-event-prod","storage.Bucket","statsig-services","log-event-prod","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/log-event-staging","storage.Bucket","statsig-services","log-event-staging","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-central1","{}","[]","null"
"//storage.googleapis.com/log-event-latest","storage.Bucket","statsig-services","log-event-latest","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-west1","{}","[]","null"
"//storage.googleapis.com/big-eventhub-payload-bucket","storage.Bucket","statsig-services","big-eventhub-payload-bucket","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us","{}","[]","null"
"//storage.googleapis.com/statsig-console-assets","storage.Bucket","statsig-services","statsig-console-assets","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us","{}","[]","null"
"//storage.googleapis.com/statsig-pulumi","storage.Bucket","statsig-services","statsig-pulumi","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us","{}","[]","null"
"//storage.googleapis.com/us.artifacts.statsig-services.appspot.com","storage.Bucket","statsig-services","us.artifacts.statsig-services.appspot.com","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us","{}","[]","null"
"//storage.googleapis.com/gcf-sources-1026503415486-us-central1","storage.Bucket","statsig-services","gcf-sources-1026503415486-us-central1","","[]","organizations/688755019898","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/statsig-services","[]","[]","","us-central1","{}","[]","null"
